|Optimizer Name|Running loop number|Epoch number|Average Training Loss
0|SimpleSGD|1|1|3.6574
1|SimpleSGD|1|2|3.6148
2|SimpleSGD|1|3|3.593
3|SimpleSGD|1|4|3.5786
4|SimpleSGD|1|5|3.5643
5|SimpleSGD|1|6|3.554
6|SimpleSGD|1|7|3.5424
7|SimpleSGD|1|8|3.5319
8|SimpleSGD|1|9|3.5228
9|SimpleSGD|1|10|3.5143
10|SimpleSGD|2|1|3.6767
11|SimpleSGD|2|2|3.6263
12|SimpleSGD|2|3|3.6003
13|SimpleSGD|2|4|3.5829
14|SimpleSGD|2|5|3.5703
15|SimpleSGD|2|6|3.5617
16|SimpleSGD|2|7|3.551
17|SimpleSGD|2|8|3.5407
18|SimpleSGD|2|9|3.5306
19|SimpleSGD|2|10|3.5247
20|SimpleSGD|3|1|3.6703
21|SimpleSGD|3|2|3.617
22|SimpleSGD|3|3|3.591
23|SimpleSGD|3|4|3.5753
24|SimpleSGD|3|5|3.5652
25|SimpleSGD|3|6|3.5535
26|SimpleSGD|3|7|3.5439
27|SimpleSGD|3|8|3.5363
28|SimpleSGD|3|9|3.5272
29|SimpleSGD|3|10|3.5165
30|SimpleSGD|4|1|3.6715
31|SimpleSGD|4|2|3.6195
32|SimpleSGD|4|3|3.5954
33|SimpleSGD|4|4|3.5812
34|SimpleSGD|4|5|3.5686
35|SimpleSGD|4|6|3.5592
36|SimpleSGD|4|7|3.5502
37|SimpleSGD|4|8|3.5393
38|SimpleSGD|4|9|3.5322
39|SimpleSGD|4|10|3.5224
40|SimpleSGDCurvature|1|1|3.7795
41|SimpleSGDCurvature|1|2|3.4411
42|SimpleSGDCurvature|1|3|3.2207
43|SimpleSGDCurvature|1|4|3.0156
44|SimpleSGDCurvature|1|5|2.7907
45|SimpleSGDCurvature|1|6|2.6138
46|SimpleSGDCurvature|1|7|2.4027
47|SimpleSGDCurvature|1|8|2.1457
48|SimpleSGDCurvature|1|9|1.8763
49|SimpleSGDCurvature|1|10|1.5012
50|SimpleSGDCurvature|2|1|3.8261
51|SimpleSGDCurvature|2|2|3.4052
52|SimpleSGDCurvature|2|3|3.1812
53|SimpleSGDCurvature|2|4|2.983
54|SimpleSGDCurvature|2|5|2.7969
55|SimpleSGDCurvature|2|6|2.6163
56|SimpleSGDCurvature|2|7|2.3985
57|SimpleSGDCurvature|2|8|2.1346
58|SimpleSGDCurvature|2|9|1.8662
59|SimpleSGDCurvature|2|10|1.521
60|SimpleSGDCurvature|3|1|3.7976
61|SimpleSGDCurvature|3|2|3.4535
62|SimpleSGDCurvature|3|3|3.2358
63|SimpleSGDCurvature|3|4|3.0076
