,Optimizer Name,Running loop number,Epoch number,Average Training Loss
0,SimpleSGD,1,1,2.1902739225165933
1,SimpleSGD,1,2,1.512147274924748
2,SimpleSGD,1,3,0.8620413975166613
3,SimpleSGD,1,4,0.6975872228140516
4,SimpleSGD,1,5,0.6382133086035247
5,SimpleSGD,1,6,0.6026598936014338
6,SimpleSGD,1,7,0.5769846005353338
7,SimpleSGD,1,8,0.5553513467947303
8,SimpleSGD,1,9,0.5377258863657522
9,SimpleSGD,1,10,0.5220023743442889
10,SimpleSGD,2,1,2.1461898047786785
11,SimpleSGD,2,2,1.3480554803220957
12,SimpleSGD,2,3,0.8062552091028137
13,SimpleSGD,2,4,0.6773639409653922
14,SimpleSGD,2,5,0.6257977073571321
15,SimpleSGD,2,6,0.5928308509115471
16,SimpleSGD,2,7,0.5680883352690415
17,SimpleSGD,2,8,0.547675901543357
18,SimpleSGD,2,9,0.5306104995421509
19,SimpleSGD,2,10,0.5153877774694327
20,SimpleSGD,3,1,2.200015199464013
21,SimpleSGD,3,2,1.5994554469580335
22,SimpleSGD,3,3,0.9613001921664931
23,SimpleSGD,3,4,0.7580097864495158
24,SimpleSGD,3,5,0.6675266245407845
25,SimpleSGD,3,6,0.613577001130403
26,SimpleSGD,3,7,0.5750990315858744
27,SimpleSGD,3,8,0.5468473937084426
28,SimpleSGD,3,9,0.5246276443065611
29,SimpleSGD,3,10,0.5065432892425228
30,SimpleSGDCurvature,1,1,0.7164372177139274
31,SimpleSGDCurvature,1,2,0.527407102811057
32,SimpleSGDCurvature,1,3,0.47323387784998555
33,SimpleSGDCurvature,1,4,0.4390261678585111
34,SimpleSGDCurvature,1,5,0.4148374216388792
35,SimpleSGDCurvature,1,6,0.3980947652382891
36,SimpleSGDCurvature,1,7,0.38533958282742675
37,SimpleSGDCurvature,1,8,0.37269461741134813
38,SimpleSGDCurvature,1,9,0.3634485706115074
39,SimpleSGDCurvature,1,10,0.35481848475584854
40,SimpleSGDCurvature,2,1,0.7637136867369162
41,SimpleSGDCurvature,2,2,0.5697934825156035
42,SimpleSGDCurvature,2,3,0.5163834997331664
43,SimpleSGDCurvature,2,4,0.4764668595339698
44,SimpleSGDCurvature,2,5,0.4460739652866494
45,SimpleSGDCurvature,2,6,0.42193127704708816
46,SimpleSGDCurvature,2,7,0.40462837992573597
47,SimpleSGDCurvature,2,8,0.38935918108359585
48,SimpleSGDCurvature,2,9,0.37679360601217
49,SimpleSGDCurvature,2,10,0.3670577514749854
50,SimpleSGDCurvature,3,1,0.7535872718672763
51,SimpleSGDCurvature,3,2,0.5819148569981426
52,SimpleSGDCurvature,3,3,0.5348489820830095
53,SimpleSGDCurvature,3,4,0.49784113940145414
54,SimpleSGDCurvature,3,5,0.4688964934427855
55,SimpleSGDCurvature,3,6,0.44460629508185234
56,SimpleSGDCurvature,3,7,0.4264566543609349
57,SimpleSGDCurvature,3,8,0.40913080808513963
58,SimpleSGDCurvature,3,9,0.39517821905328265
59,SimpleSGDCurvature,3,10,0.3832557176603183
60,Adam,1,1,0.40165761407059647
61,Adam,1,2,0.2521915291942386
62,Adam,1,3,0.2045943889496868
63,Adam,1,4,0.16775107047339874
64,Adam,1,5,0.13800088028266613
65,Adam,1,6,0.10982145454142807
66,Adam,1,7,0.08531887983696769
67,Adam,1,8,0.06715785016688997
68,Adam,1,9,0.052060002898688174
