,Optimizer Name,Running loop number,Epoch number,Average Training Loss
0,SimpleSGD,1,1,2.2757656000837496
1,SimpleSGD,1,2,2.203962534288817
2,SimpleSGD,1,3,2.1235525034650973
3,SimpleSGD,1,4,2.03911964199211
4,SimpleSGD,1,5,1.9583928660501408
5,SimpleSGD,1,6,1.8978167817562441
6,SimpleSGD,1,7,1.8431000015403651
7,SimpleSGD,1,8,1.8013498224789584
8,SimpleSGD,1,9,1.7651899479612518
9,SimpleSGD,1,10,1.7400971590718137
10,SimpleSGD,2,1,2.262379266038726
11,SimpleSGD,2,2,2.174099511738065
12,SimpleSGD,2,3,2.087974951237063
13,SimpleSGD,2,4,2.0082779202280165
14,SimpleSGD,2,5,1.946053515506696
15,SimpleSGD,2,6,1.8872689385957355
16,SimpleSGD,2,7,1.8520078357261947
17,SimpleSGD,2,8,1.809236016454576
18,SimpleSGD,2,9,1.7859680637528625
19,SimpleSGD,2,10,1.750590647323222
20,SimpleSGD,3,1,2.263596323472035
21,SimpleSGD,3,2,2.179939411863496
22,SimpleSGD,3,3,2.088383160059965
23,SimpleSGD,3,4,2.0044723658622066
24,SimpleSGD,3,5,1.936526648605926
25,SimpleSGD,3,6,1.8795623220974886
26,SimpleSGD,3,7,1.833578473404993
27,SimpleSGD,3,8,1.7924466797068148
28,SimpleSGD,3,9,1.7652054481868502
29,SimpleSGD,3,10,1.7352990711791605
30,SimpleSGDCurvature,1,1,2.0884588775755484
31,SimpleSGDCurvature,1,2,1.8282947027230565
32,SimpleSGDCurvature,1,3,1.7415675618980504
33,SimpleSGDCurvature,1,4,1.6847084956833078
34,SimpleSGDCurvature,1,5,1.6408207612701609
35,SimpleSGDCurvature,1,6,1.5949681997299194
36,SimpleSGDCurvature,1,7,1.5532538151439232
37,SimpleSGDCurvature,1,8,1.5121159900592853
38,SimpleSGDCurvature,1,9,1.4659059168417243
39,SimpleSGDCurvature,1,10,1.4448063977157013
40,SimpleSGDCurvature,2,1,2.1061194440986535
41,SimpleSGDCurvature,2,2,1.8584137143968027
42,SimpleSGDCurvature,2,3,1.7608698455593255
43,SimpleSGDCurvature,2,4,1.6922939789446094
44,SimpleSGDCurvature,2,5,1.6376112548610833
45,SimpleSGDCurvature,2,6,1.5915971224821066
46,SimpleSGDCurvature,2,7,1.549922543235972
47,SimpleSGDCurvature,2,8,1.5188289488418192
48,SimpleSGDCurvature,2,9,1.4677224264869206
49,SimpleSGDCurvature,2,10,1.4370386117621312
50,SimpleSGDCurvature,3,1,2.109167669392839
51,SimpleSGDCurvature,3,2,1.8747981092597865
52,SimpleSGDCurvature,3,3,1.7812989225870446
53,SimpleSGDCurvature,3,4,1.6953334536733506
