Optimizer Name,Running loop number,Initial CPU Memory (MB),Peak CPU Memory (MB),Initial GPU Memory Allocated (MB),Peak GPU Memory Allocated (MB),Initial GPU Memory Reserved (MB),Peak GPU Memory Reserved (MB)
SimpleSGD,1,1737.5859375,3239.94921875,42.75927734375,105.3447265625,64.0,2156.0
SimpleSGD,2,3243.5,3251.4765625,60.13427734375,104.5322265625,502.0,2200.0
SimpleSGD,3,3251.73828125,3243.2578125,59.13427734375,103.6572265625,396.0,2192.0
SimpleSGD,4,3250.50390625,3251.30078125,60.13427734375,103.4697265625,346.0,2194.0
SimpleSGDCurvature,1,3257.18359375,3285.32421875,59.00927734375,104.2197265625,374.0,2156.0
SimpleSGDCurvature,2,3292.328125,3322.19921875,59.75927734375,102.8447265625,456.0,2206.0
SimpleSGDCurvature,3,3322.37109375,3328.60546875,59.13427734375,103.4072265625,430.0,2180.0
SimpleSGDCurvature,4,3328.84765625,3322.515625,59.13427734375,102.7197265625,380.0,2228.0
Adam,1,3322.4296875,3345.7890625,59.00927734375,191.015625,220.0,2214.0
Adam,2,3278.5703125,3308.98828125,60.00927734375,190.703125,566.0,2232.0
