Optimizer Name|Mean_Training_Loss_epoch1|Mean_Training_Loss_epoch2|Mean_Training_Loss_epoch3|Mean_Training_Loss_epoch4|Mean_Training_Loss_epoch5|Std_Training_Loss_epoch1|Std_Training_Loss_epoch2|Std_Training_Loss_epoch3|Std_Training_Loss_epoch4|Std_Training_Loss_epoch5
AMSGrad|1.38305|1.3827500000000001|1.35305|1.3161|1.2504|0.0038890872965259755|0.00487903679018719|0.04716402230514271|0.09941921343482862|0.19233304448274102
Adadelta|1.38715|1.3865|1.3865|1.38645|1.3865|7.071067811872547e-05|0.0|0.0|7.071067811872547e-05|0.0
Adagrad|1.0507|0.9138|0.86925|0.8488|0.83745|0.0033941125496953686|0.02022325394193527|0.005727564927611032|0.0015556349186103902|0.0013435028842544493
Adam|1.3851499999999999|1.3867|1.38665|1.3865500000000002|1.3866|0.0017677669529664096|0.0|7.071067811872547e-05|7.071067811856847e-05|0.0
AdamW|1.38615|1.3866|1.3864|1.35175|1.25515|0.0014849242404917434|0.0|0.00014142135623729392|0.049143921292465136|0.18589837277394344
HeavyBall|1.3869500000000001|1.3867500000000001|1.38665|1.3866|1.3865|7.071067811856847e-05|7.071067811872547e-05|7.071067811872547e-05|0.0|0.0
HeavyBallCurvature|1.3874499999999999|1.38665|1.3866|1.3851|1.11795|7.071067811872547e-05|7.071067811872547e-05|0.0|0.001979898987322429|0.04405275246792193
NAG|1.3869500000000001|1.3867500000000001|1.38665|1.3866|1.3865|7.071067811856847e-05|7.071067811872547e-05|7.071067811872547e-05|0.0|0.0
NAGCurvature|1.3874499999999999|1.38665|1.3866|1.3851|1.1006|7.071067811872547e-05|7.071067811872547e-05|0.0|0.001979898987322429|0.03351686142824243
NAdam|1.388|1.3896|1.3995|1.47675|1.4935|0.00014142135623729392|0.0005656854249491757|0.010748023074035594|0.02397091988222399|0.00028284271247458785
NAdamW|1.388|1.3892|1.39175|1.3935|1.3958|0.00014142135623729392|0.00014142135623729392|0.0004949747468306073|0.00028284271247458785|0.0005656854249494113
RMSProp|1.4646|1.4763000000000002|1.48285|1.4846|1.4825|0.003111269837220859|0.0011313708498985869|0.0002121320343560979|0.005656854249492385|0.0011313708498985869
RMSPropMomentum|1.46765|1.48075|1.4837500000000001|1.484|1.4862|0.0016263455967292727|0.0006363961030679797|0.0002121320343558624|0.0008485281374237635|0.002121320343559723
SimpleSGD|1.3866|1.3865|1.3865|1.38645|1.3865|0.0|0.0|0.0|7.071067811872547e-05|0.0
SimpleSGDCurvature|1.3872499999999999|1.3866|1.3866|1.38595|1.2036|7.071067811872547e-05|0.0|0.0|0.0009192388155425676|0.14863384540541225
