|Peak CPU Memory (MB)|Peak CPU Memory (MB)|Peak GPU Memory Allocated (MB)|Peak GPU Memory Allocated (MB)|Peak GPU Memory Reserved (MB)|Peak GPU Memory Reserved (MB)
|mean|std|mean|std|mean|std
Optimizer Name||||||
AMSGrad|3302.57|0.16|233.92|0.69|2210.67|28.73
AMSGradCurvature|3302.47|0.13|234.81|1.01|2407.33|31.13
Adadelta|3293.78|0.09|191.21|1.43|2223.33|40.46
AdadeltaCurvature|3295.48|0.14|190.59|1.2|2274.0|95.39
Adagrad|3293.75|0.13|148.3|1.2|2192.0|14.0
AdagradCurvature|3293.78|0.08|147.19|1.54|2207.33|20.03
Adam|3282.18|0.24|191.12|0.78|2196.0|37.36
AdamCurvature|3282.21|0.03|189.83|0.07|2222.0|20.88
AdamW|3299.82|0.19|190.46|1.12|2202.67|15.53
AdamWCurvature|3299.88|0.07|190.04|1.06|2202.0|3.46
HeavyBall|3283.53|1.07|147.19|0.82|2220.0|24.58
HeavyBallCurvature|3284.03|0.13|145.96|0.99|2338.0|108.57
NAG|3288.52|0.16|147.9|1.46|2201.33|22.03
NAGCurvature|3289.7|1.53|145.69|0.57|2194.0|20.3
NAdam|3299.89|0.18|190.46|1.12|2203.33|16.65
NAdamCurvature|3299.8|0.06|189.4|0.77|2226.0|25.06
NAdamW|3301.47|1.2|190.46|1.12|2203.33|16.65
NAdamWCurvature|3302.35|0.13|190.57|1.36|2218.0|27.78
RMSProp|3297.67|2.02|148.3|1.2|2194.67|10.26
RMSPropCurvature|3299.84|0.12|147.13|0.36|2210.67|28.02
RMSPropMomentum|3299.78|0.21|190.73|1.35|2196.67|35.0
RMSPropMomentumCurvature|3299.81|0.08|191.13|0.63|2232.0|25.06
SimpleSGD|3272.24|4.78|105.23|0.58|2180.67|41.0
SimpleSGDCurvature|3279.79|0.55|102.92|0.21|2193.33|47.34
