|Optimizer Name|Running loop number|Epoch number|Average Training Loss
0|SimpleSGD|1|1|4.7199
1|SimpleSGD|1|2|4.6985
2|SimpleSGD|1|3|4.6832
3|SimpleSGD|1|4|4.6676
4|SimpleSGD|1|5|4.6531
5|SimpleSGD|1|6|4.6366
6|SimpleSGD|1|7|4.6251
7|SimpleSGD|1|8|4.6127
8|SimpleSGD|1|9|4.6023
9|SimpleSGD|1|10|4.5902
10|SimpleSGD|2|1|4.7446
11|SimpleSGD|2|2|4.7206
12|SimpleSGD|2|3|4.6999
13|SimpleSGD|2|4|4.6804
14|SimpleSGD|2|5|4.6637
15|SimpleSGD|2|6|4.648
16|SimpleSGD|2|7|4.6333
17|SimpleSGD|2|8|4.6199
18|SimpleSGD|2|9|4.608
19|SimpleSGD|2|10|4.5948
20|SimpleSGD|3|1|4.7447
21|SimpleSGD|3|2|4.7185
22|SimpleSGD|3|3|4.6991
23|SimpleSGD|3|4|4.6842
24|SimpleSGD|3|5|4.6639
25|SimpleSGD|3|6|4.6506
26|SimpleSGD|3|7|4.6349
27|SimpleSGD|3|8|4.618
28|SimpleSGD|3|9|4.6042
29|SimpleSGD|3|10|4.5928
30|SimpleSGD|4|1|4.7728
31|SimpleSGD|4|2|4.7454
32|SimpleSGD|4|3|4.722
33|SimpleSGD|4|4|4.7003
34|SimpleSGD|4|5|4.6822
35|SimpleSGD|4|6|4.6648
36|SimpleSGD|4|7|4.6501
37|SimpleSGD|4|8|4.6378
38|SimpleSGD|4|9|4.6201
39|SimpleSGD|4|10|4.606
40|SimpleSGDCurvature|1|1|4.6858
41|SimpleSGDCurvature|1|2|4.2754
42|SimpleSGDCurvature|1|3|3.8645
43|SimpleSGDCurvature|1|4|3.6694
44|SimpleSGDCurvature|1|5|3.3943
45|SimpleSGDCurvature|1|6|3.2091
46|SimpleSGDCurvature|1|7|2.911
47|SimpleSGDCurvature|1|8|2.8464
48|SimpleSGDCurvature|1|9|2.6967
49|SimpleSGDCurvature|1|10|2.512
50|SimpleSGDCurvature|2|1|4.7108
51|SimpleSGDCurvature|2|2|4.274
52|SimpleSGDCurvature|2|3|3.9509
53|SimpleSGDCurvature|2|4|3.5919
54|SimpleSGDCurvature|2|5|3.4941
55|SimpleSGDCurvature|2|6|3.1677
56|SimpleSGDCurvature|2|7|2.9664
57|SimpleSGDCurvature|2|8|2.8009
58|SimpleSGDCurvature|2|9|2.62
59|SimpleSGDCurvature|2|10|2.5011
60|SimpleSGDCurvature|3|1|4.7229
61|SimpleSGDCurvature|3|2|4.2836
62|SimpleSGDCurvature|3|3|3.9307
63|SimpleSGDCurvature|3|4|3.6385
64|SimpleSGDCurvature|3|5|3.4195
65|SimpleSGDCurvature|3|6|3.2006
66|SimpleSGDCurvature|3|7|2.9939
67|SimpleSGDCurvature|3|8|2.8968
68|SimpleSGDCurvature|3|9|2.7032
69|SimpleSGDCurvature|3|10|2.6305
70|SimpleSGDCurvature|4|1|4.7408
71|SimpleSGDCurvature|4|2|4.3202
72|SimpleSGDCurvature|4|3|3.9686
73|SimpleSGDCurvature|4|4|3.652
74|SimpleSGDCurvature|4|5|3.4851
75|SimpleSGDCurvature|4|6|3.2767
76|SimpleSGDCurvature|4|7|3.0038
77|SimpleSGDCurvature|4|8|2.8728
78|SimpleSGDCurvature|4|9|2.7086
79|SimpleSGDCurvature|4|10|2.5283
80|Adam|1|1|4.4773
81|Adam|1|2|3.6226
82|Adam|1|3|3.2013
83|Adam|1|4|3.0039
84|Adam|1|5|2.7719
85|Adam|1|6|2.5434
86|Adam|1|7|2.3732
87|Adam|1|8|2.1931
88|Adam|1|9|2.0611
89|Adam|1|10|1.9786
90|Adam|2|1|4.5634
91|Adam|2|2|3.7288
92|Adam|2|3|3.2635
93|Adam|2|4|2.9472
94|Adam|2|5|2.8315
95|Adam|2|6|2.5762
96|Adam|2|7|2.4371
97|Adam|2|8|2.2442
98|Adam|2|9|2.1354
99|Adam|2|10|2.0039
100|Adam|3|1|4.5493
101|Adam|3|2|3.7038
102|Adam|3|3|3.3078
103|Adam|3|4|3.0055
104|Adam|3|5|2.8472
105|Adam|3|6|2.6955
106|Adam|3|7|2.5834
107|Adam|3|8|2.4296
108|Adam|3|9|2.3069
109|Adam|3|10|2.1507
110|Adam|4|1|4.6269
111|Adam|4|2|3.8056
112|Adam|4|3|3.4378
113|Adam|4|4|3.1395
114|Adam|4|5|2.9075
115|Adam|4|6|2.7235
116|Adam|4|7|2.4627
117|Adam|4|8|2.4104
118|Adam|4|9|2.2098
119|Adam|4|10|2.0978
120|HeavyBall|1|1|4.7101
121|HeavyBall|1|2|4.6268
122|HeavyBall|1|3|4.5547
123|HeavyBall|1|4|4.4935
124|HeavyBall|1|5|4.4187
125|HeavyBall|1|6|4.3369
126|HeavyBall|1|7|4.2541
127|HeavyBall|1|8|4.1767
128|HeavyBall|1|9|4.0943
129|HeavyBall|1|10|4.0123
130|HeavyBall|2|1|4.731
131|HeavyBall|2|2|4.6337
132|HeavyBall|2|3|4.5617
133|HeavyBall|2|4|4.4911
134|HeavyBall|2|5|4.4209
135|HeavyBall|2|6|4.3316
136|HeavyBall|2|7|4.2412
137|HeavyBall|2|8|4.1556
138|HeavyBall|2|9|4.0668
139|HeavyBall|2|10|3.9696
140|HeavyBall|3|1|4.7298
141|HeavyBall|3|2|4.6242
142|HeavyBall|3|3|4.524
143|HeavyBall|3|4|4.4324
144|HeavyBall|3|5|4.3438
145|HeavyBall|3|6|4.2486
146|HeavyBall|3|7|4.1599
147|HeavyBall|3|8|4.0672
148|HeavyBall|3|9|3.9898
149|HeavyBall|3|10|3.9225
150|HeavyBall|4|1|4.7526
151|HeavyBall|4|2|4.6409
152|HeavyBall|4|3|4.5454
153|HeavyBall|4|4|4.4691
154|HeavyBall|4|5|4.3886
155|HeavyBall|4|6|4.3193
156|HeavyBall|4|7|4.2424
157|HeavyBall|4|8|4.1803
158|HeavyBall|4|9|4.1007
159|HeavyBall|4|10|4.0357
160|HeavyBallCurvature|1|1|4.7541
161|HeavyBallCurvature|1|2|4.2848
162|HeavyBallCurvature|1|3|3.746
163|HeavyBallCurvature|1|4|3.4737
164|HeavyBallCurvature|1|5|3.175
165|HeavyBallCurvature|1|6|2.9856
166|HeavyBallCurvature|1|7|2.6574
167|HeavyBallCurvature|1|8|2.5395
168|HeavyBallCurvature|1|9|2.3967
169|HeavyBallCurvature|1|10|2.2617
170|HeavyBallCurvature|2|1|4.8428
171|HeavyBallCurvature|2|2|4.1666
172|HeavyBallCurvature|2|3|3.7732
173|HeavyBallCurvature|2|4|3.4536
174|HeavyBallCurvature|2|5|3.2725
175|HeavyBallCurvature|2|6|2.9715
176|HeavyBallCurvature|2|7|2.8447
177|HeavyBallCurvature|2|8|2.5659
178|HeavyBallCurvature|2|9|2.4325
179|HeavyBallCurvature|2|10|2.146
180|HeavyBallCurvature|3|1|4.8801
181|HeavyBallCurvature|3|2|4.1876
182|HeavyBallCurvature|3|3|3.8085
183|HeavyBallCurvature|3|4|3.4527
184|HeavyBallCurvature|3|5|3.2263
185|HeavyBallCurvature|3|6|3.0692
186|HeavyBallCurvature|3|7|2.7298
187|HeavyBallCurvature|3|8|2.5346
188|HeavyBallCurvature|3|9|2.4116
189|HeavyBallCurvature|3|10|2.2371
190|HeavyBallCurvature|4|1|4.8628
191|HeavyBallCurvature|4|2|4.2311
192|HeavyBallCurvature|4|3|3.7356
193|HeavyBallCurvature|4|4|3.4271
194|HeavyBallCurvature|4|5|3.1943
195|HeavyBallCurvature|4|6|2.9707
196|HeavyBallCurvature|4|7|2.7384
197|HeavyBallCurvature|4|8|2.5564
198|HeavyBallCurvature|4|9|2.3387
199|HeavyBallCurvature|4|10|2.0401
200|NAG|1|1|4.7116
201|NAG|1|2|4.6256
202|NAG|1|3|4.5582
203|NAG|1|4|4.4911
204|NAG|1|5|4.4258
205|NAG|1|6|4.3413
206|NAG|1|7|4.25
207|NAG|1|8|4.1644
208|NAG|1|9|4.0746
209|NAG|1|10|3.9845
210|NAG|2|1|4.7277
211|NAG|2|2|4.6313
212|NAG|2|3|4.5582
213|NAG|2|4|4.4895
214|NAG|2|5|4.4113
215|NAG|2|6|4.3259
216|NAG|2|7|4.2396
217|NAG|2|8|4.1458
218|NAG|2|9|4.0588
219|NAG|2|10|3.9636
220|NAG|3|1|4.7301
221|NAG|3|2|4.6264
222|NAG|3|3|4.5353
223|NAG|3|4|4.4413
224|NAG|3|5|4.355
225|NAG|3|6|4.2577
226|NAG|3|7|4.1676
227|NAG|3|8|4.0835
228|NAG|3|9|4.0051
229|NAG|3|10|3.9442
230|NAG|4|1|4.754
231|NAG|4|2|4.6377
232|NAG|4|3|4.5482
233|NAG|4|4|4.4724
234|NAG|4|5|4.3906
235|NAG|4|6|4.3042
236|NAG|4|7|4.2248
237|NAG|4|8|4.1579
238|NAG|4|9|4.0809
239|NAG|4|10|4.0146
240|NAGCurvature|1|1|4.7464
241|NAGCurvature|1|2|4.2534
242|NAGCurvature|1|3|3.728
243|NAGCurvature|1|4|3.4747
244|NAGCurvature|1|5|3.1923
245|NAGCurvature|1|6|2.9895
246|NAGCurvature|1|7|2.6576
247|NAGCurvature|1|8|2.566
248|NAGCurvature|1|9|2.3501
249|NAGCurvature|1|10|2.2696
