Optimizer Name,Running loop number,Initial CPU Memory (MB),Peak CPU Memory (MB),Initial GPU Memory Allocated (MB),Peak GPU Memory Allocated (MB),Initial GPU Memory Reserved (MB),Peak GPU Memory Reserved (MB)
SimpleSGD,1,2532.84765625,2838.23046875,2.5751953125,21.400390625,22.0,46.0
SimpleSGD,2,2838.23046875,2838.23046875,18.8251953125,21.400390625,44.0,46.0
SimpleSGD,3,2838.23046875,2839.51171875,18.8251953125,21.400390625,44.0,46.0
SimpleSGD,4,2839.51171875,2839.51171875,18.8251953125,21.400390625,44.0,46.0
SimpleSGD,5,2839.51171875,2839.51171875,18.8251953125,21.400390625,44.0,46.0
SimpleSGD,6,2839.51171875,2839.51171875,18.8251953125,21.400390625,44.0,46.0
SimpleSGD,7,2839.51171875,2839.51171875,18.8251953125,21.400390625,44.0,46.0
SimpleSGD,8,2839.51171875,2839.51171875,18.8251953125,21.400390625,44.0,46.0
SimpleSGD,9,2839.51171875,2839.51171875,18.8251953125,21.400390625,44.0,46.0
SimpleSGD,10,2839.51171875,2839.75390625,18.8251953125,21.400390625,44.0,46.0
SimpleSGDCurvature,1,2839.75390625,2839.75390625,18.8251953125,21.400390625,44.0,66.0
SimpleSGDCurvature,2,2839.75390625,2839.75390625,18.8251953125,21.400390625,44.0,66.0
SimpleSGDCurvature,3,2839.75390625,2839.75390625,18.8251953125,21.400390625,44.0,68.0
SimpleSGDCurvature,4,2839.75390625,2842.44921875,18.8251953125,21.400390625,44.0,68.0
SimpleSGDCurvature,5,2842.44921875,2842.44921875,18.8251953125,21.400390625,42.0,68.0
SimpleSGDCurvature,6,2842.44921875,2842.44921875,18.8251953125,21.400390625,42.0,66.0
SimpleSGDCurvature,7,2842.44921875,2842.44921875,18.8251953125,21.400390625,42.0,68.0
SimpleSGDCurvature,8,2842.44921875,2842.44921875,18.8251953125,21.400390625,44.0,66.0
SimpleSGDCurvature,9,2842.44921875,2842.44921875,18.8251953125,21.400390625,42.0,68.0
SimpleSGDCurvature,10,2842.44921875,2842.44921875,18.8251953125,21.400390625,42.0,68.0
Adam,1,2842.44921875,2842.44921875,18.8251953125,26.55078125,44.0,48.0
Adam,2,2842.44921875,2842.44921875,18.8251953125,26.55078125,44.0,46.0
Adam,3,2842.44921875,2842.44921875,18.8251953125,26.55078125,44.0,46.0
Adam,4,2842.44921875,2842.44921875,18.8251953125,26.55078125,44.0,46.0
Adam,5,2842.44921875,2842.44921875,18.8251953125,26.55078125,44.0,46.0
Adam,6,2842.44921875,2842.44921875,18.8251953125,26.55078125,44.0,46.0
Adam,7,2842.44921875,2842.44921875,18.8251953125,26.55078125,44.0,46.0
Adam,8,2842.44921875,2842.44921875,18.8251953125,26.55078125,44.0,46.0
Adam,9,2842.44921875,2842.44921875,18.8251953125,26.55078125,44.0,46.0
Adam,10,2842.44921875,2842.44921875,18.8251953125,26.55078125,44.0,46.0
AdamCurvature,1,2842.44921875,2842.44921875,18.8251953125,26.55078125,44.0,68.0
AdamCurvature,2,2842.44921875,2842.44921875,18.8251953125,26.55078125,44.0,68.0
AdamCurvature,3,2842.44921875,2842.44921875,18.8251953125,26.55078125,44.0,68.0
AdamCurvature,4,2842.44921875,2842.44921875,18.8251953125,26.55078125,44.0,68.0
AdamCurvature,5,2842.44921875,2842.44921875,18.8251953125,26.55078125,44.0,68.0
AdamCurvature,6,2842.44921875,2842.44921875,18.8251953125,26.55078125,44.0,68.0
AdamCurvature,7,2842.44921875,2842.44921875,18.8251953125,26.55078125,44.0,68.0
AdamCurvature,8,2842.44921875,2842.44921875,18.8251953125,26.55078125,44.0,68.0
AdamCurvature,9,2842.44921875,2842.44921875,18.8251953125,26.55078125,44.0,68.0
AdamCurvature,10,2843.640625,2843.640625,18.8251953125,26.55078125,44.0,68.0
HeavyBall,1,2843.640625,2843.640625,18.8251953125,23.9755859375,44.0,46.0
HeavyBall,2,2843.640625,2843.640625,18.8251953125,23.9755859375,44.0,46.0
HeavyBall,3,2843.640625,2843.640625,18.8251953125,23.9755859375,44.0,66.0
