|Optimizer Name|Running loop number|Epoch number|Average Training Loss
0|SimpleSGD|1|1|1.6057
1|SimpleSGD|1|2|1.598
2|SimpleSGD|1|3|1.5956
3|SimpleSGD|1|4|1.5937
4|SimpleSGD|1|5|1.592
5|SimpleSGD|1|6|1.5905
6|SimpleSGD|1|7|1.5891
7|SimpleSGD|1|8|1.5878
8|SimpleSGD|1|9|1.5864
9|SimpleSGD|1|10|1.5851
10|SimpleSGD|2|1|1.6014
11|SimpleSGD|2|2|1.597
12|SimpleSGD|2|3|1.5949
13|SimpleSGD|2|4|1.5933
14|SimpleSGD|2|5|1.5918
15|SimpleSGD|2|6|1.5905
16|SimpleSGD|2|7|1.5893
17|SimpleSGD|2|8|1.5881
18|SimpleSGD|2|9|1.587
19|SimpleSGD|2|10|1.5859
20|SimpleSGDCurvature|1|1|1.5212
21|SimpleSGDCurvature|1|2|1.4577
22|SimpleSGDCurvature|1|3|1.4118
23|SimpleSGDCurvature|1|4|1.3884
24|SimpleSGDCurvature|1|5|1.3681
25|SimpleSGDCurvature|1|6|1.3514
26|SimpleSGDCurvature|1|7|1.3358
27|SimpleSGDCurvature|1|8|1.3232
28|SimpleSGDCurvature|1|9|1.3103
29|SimpleSGDCurvature|1|10|1.2989
30|SimpleSGDCurvature|2|1|1.5235
31|SimpleSGDCurvature|2|2|1.4385
32|SimpleSGDCurvature|2|3|1.4036
33|SimpleSGDCurvature|2|4|1.3783
34|SimpleSGDCurvature|2|5|1.3584
35|SimpleSGDCurvature|2|6|1.3405
36|SimpleSGDCurvature|2|7|1.3256
37|SimpleSGDCurvature|2|8|1.3125
38|SimpleSGDCurvature|2|9|1.2999
39|SimpleSGDCurvature|2|10|1.2879
40|Adam|1|1|1.5185
41|Adam|1|2|1.4868
42|Adam|1|3|1.5271
43|Adam|1|4|1.4818
44|Adam|1|5|1.4953
45|Adam|1|6|1.4707
46|Adam|1|7|1.3435
47|Adam|1|8|1.4187
48|Adam|1|9|1.4517
49|Adam|1|10|1.4844
50|Adam|2|1|1.4931
51|Adam|2|2|1.4648
52|Adam|2|3|1.4318
53|Adam|2|4|1.4809
54|Adam|2|5|1.4952
55|Adam|2|6|1.5472
56|Adam|2|7|1.4806
57|Adam|2|8|1.5068
58|Adam|2|9|1.484
59|Adam|2|10|1.4741
60|AdamCurvature|1|1|1.522
61|AdamCurvature|1|2|1.2988
62|AdamCurvature|1|3|1.3033
63|AdamCurvature|1|4|1.21
64|AdamCurvature|1|5|1.167
65|AdamCurvature|1|6|1.1642
66|AdamCurvature|1|7|1.3693
67|AdamCurvature|1|8|1.3462
68|AdamCurvature|1|9|1.3572
69|AdamCurvature|1|10|1.3825
70|AdamCurvature|2|1|1.5233
71|AdamCurvature|2|2|1.5124
72|AdamCurvature|2|3|1.5138
73|AdamCurvature|2|4|1.5142
74|AdamCurvature|2|5|1.491
75|AdamCurvature|2|6|1.5145
76|AdamCurvature|2|7|1.4878
77|AdamCurvature|2|8|1.4948
78|AdamCurvature|2|9|1.4732
79|AdamCurvature|2|10|1.4475
80|HeavyBall|1|1|1.5928
81|HeavyBall|1|2|1.5675
82|HeavyBall|1|3|1.4775
83|HeavyBall|1|4|1.3996
84|HeavyBall|1|5|1.3304
85|HeavyBall|1|6|1.277
86|HeavyBall|1|7|1.243
87|HeavyBall|1|8|1.2159
88|HeavyBall|1|9|1.1871
89|HeavyBall|1|10|1.1698
90|HeavyBall|2|1|1.5922
91|HeavyBall|2|2|1.5764
92|HeavyBall|2|3|1.4909
93|HeavyBall|2|4|1.3932
94|HeavyBall|2|5|1.3248
95|HeavyBall|2|6|1.2771
96|HeavyBall|2|7|1.2417
97|HeavyBall|2|8|1.222
98|HeavyBall|2|9|1.1899
99|HeavyBall|2|10|1.173
100|HeavyBallCurvature|1|1|1.4861
101|HeavyBallCurvature|1|2|1.3962
102|HeavyBallCurvature|1|3|1.3528
103|HeavyBallCurvature|1|4|1.3255
104|HeavyBallCurvature|1|5|1.3057
105|HeavyBallCurvature|1|6|1.2852
106|HeavyBallCurvature|1|7|1.2705
107|HeavyBallCurvature|1|8|1.2585
108|HeavyBallCurvature|1|9|1.2441
109|HeavyBallCurvature|1|10|1.2324
110|HeavyBallCurvature|2|1|1.4775
111|HeavyBallCurvature|2|2|1.3864
112|HeavyBallCurvature|2|3|1.3449
113|HeavyBallCurvature|2|4|1.3133
114|HeavyBallCurvature|2|5|1.2914
115|HeavyBallCurvature|2|6|1.2679
116|HeavyBallCurvature|2|7|1.2467
117|HeavyBallCurvature|2|8|1.2354
118|HeavyBallCurvature|2|9|1.2253
119|HeavyBallCurvature|2|10|1.213
120|NAG|1|1|1.5928
121|NAG|1|2|1.5675
122|NAG|1|3|1.4771
123|NAG|1|4|1.3957
124|NAG|1|5|1.3326
125|NAG|1|6|1.2773
126|NAG|1|7|1.2442
127|NAG|1|8|1.2118
128|NAG|1|9|1.1882
129|NAG|1|10|1.1721
130|NAG|2|1|1.5922
131|NAG|2|2|1.5764
132|NAG|2|3|1.4915
133|NAG|2|4|1.3984
134|NAG|2|5|1.3315
135|NAG|2|6|1.2793
136|NAG|2|7|1.2438
137|NAG|2|8|1.2163
138|NAG|2|9|1.2012
139|NAG|2|10|1.1721
140|NAGCurvature|1|1|1.4849
141|NAGCurvature|1|2|1.3955
142|NAGCurvature|1|3|1.3526
143|NAGCurvature|1|4|1.3275
144|NAGCurvature|1|5|1.3083
145|NAGCurvature|1|6|1.2857
146|NAGCurvature|1|7|1.2717
147|NAGCurvature|1|8|1.262
148|NAGCurvature|1|9|1.2495
149|NAGCurvature|1|10|1.2421
150|NAGCurvature|2|1|1.475
151|NAGCurvature|2|2|1.3819
152|NAGCurvature|2|3|1.3444
153|NAGCurvature|2|4|1.3143
154|NAGCurvature|2|5|1.2905
155|NAGCurvature|2|6|1.274
156|NAGCurvature|2|7|1.2559
157|NAGCurvature|2|8|1.2378
158|NAGCurvature|2|9|1.2255
159|NAGCurvature|2|10|1.2128
160|Adagrad|1|1|1.5214
161|Adagrad|1|2|1.4948
162|Adagrad|1|3|1.4602
163|Adagrad|1|4|1.4441
164|Adagrad|1|5|1.4328
165|Adagrad|1|6|1.4223
166|Adagrad|1|7|1.4143
167|Adagrad|1|8|1.4082
168|Adagrad|1|9|1.4034
169|Adagrad|1|10|1.3992
170|Adagrad|2|1|1.5286
171|Adagrad|2|2|1.4765
172|Adagrad|2|3|1.4516
173|Adagrad|2|4|1.4413
174|Adagrad|2|5|1.4334
175|Adagrad|2|6|1.4272
176|Adagrad|2|7|1.4217
177|Adagrad|2|8|1.4164
178|Adagrad|2|9|1.411
179|Adagrad|2|10|1.4056
180|AdagradCurvature|1|1|1.4369
181|AdagradCurvature|1|2|1.3484
