,Optimizer Name,Running loop number,Epoch number,Average Training Loss
0,SimpleSGD,1,1,1.2838608483583651
1,SimpleSGD,1,2,1.2841677230012531
2,SimpleSGD,1,3,1.273660661095374
3,SimpleSGD,1,4,1.2662339243885294
4,SimpleSGD,1,5,1.2607976984851428
5,SimpleSGD,1,6,1.256616873317001
6,SimpleSGD,1,7,1.2531807062886782
7,SimpleSGD,1,8,1.2500972325857453
8,SimpleSGD,1,9,1.2470305350050754
9,SimpleSGD,1,10,1.2436916399259752
10,SimpleSGD,2,1,1.281183118314246
11,SimpleSGD,2,2,1.2799374902233125
12,SimpleSGD,2,3,1.2693147479563918
13,SimpleSGD,2,4,1.2622473630227733
14,SimpleSGD,2,5,1.2571784231654952
15,SimpleSGD,2,6,1.2532751865947749
16,SimpleSGD,2,7,1.2500443166827484
17,SimpleSGD,2,8,1.2471235509711796
18,SimpleSGD,2,9,1.244214639207507
19,SimpleSGD,2,10,1.2411444812390076
20,SimpleSGDCurvature,1,1,1.200404151597898
21,SimpleSGDCurvature,1,2,1.1647968081715476
22,SimpleSGDCurvature,1,3,1.1471206473078308
23,SimpleSGDCurvature,1,4,1.1404485158506859
24,SimpleSGDCurvature,1,5,1.1464574635732678
25,SimpleSGDCurvature,1,6,1.1332619451959782
26,SimpleSGDCurvature,1,7,1.1347742924241564
27,SimpleSGDCurvature,1,8,1.1239802375586994
28,SimpleSGDCurvature,1,9,1.1174699697841914
29,SimpleSGDCurvature,1,10,1.110174044697152
30,SimpleSGDCurvature,2,1,1.2017907099873688
31,SimpleSGDCurvature,2,2,1.1657590551720565
32,SimpleSGDCurvature,2,3,1.1509088364219473
33,SimpleSGDCurvature,2,4,1.1546987757889575
34,SimpleSGDCurvature,2,5,1.180309103364722
35,SimpleSGDCurvature,2,6,1.2017755956717528
36,SimpleSGDCurvature,2,7,1.1978646680240863
37,SimpleSGDCurvature,2,8,1.1940855269939767
38,SimpleSGDCurvature,2,9,1.1875621503763936
39,SimpleSGDCurvature,2,10,1.1651573775917925
40,Adam,1,1,1.357155356272393
41,Adam,1,2,1.303721135770358
42,Adam,1,3,1.36816372683582
43,Adam,1,4,1.3098122966333556
44,Adam,1,5,1.2884685803304974
45,Adam,1,6,1.247939101755757
46,Adam,1,7,1.2609671486758303
47,Adam,1,8,1.2560350922053145
48,Adam,1,9,1.2467079298170516
49,Adam,1,10,1.2422776363261068
50,Adam,2,1,1.34988535751292
51,Adam,2,2,1.37809397546932
52,Adam,2,3,1.3764666925612434
53,Adam,2,4,1.3612724080388918
54,Adam,2,5,1.326752521766666
55,Adam,2,6,1.3018332005395021
56,Adam,2,7,1.293026588562463
57,Adam,2,8,1.2758535136521887
58,Adam,2,9,1.2700220101656385
59,Adam,2,10,1.269540738899244
60,AdamCurvature,1,1,1.2598873336923444
61,AdamCurvature,1,2,1.2685310281712348
62,AdamCurvature,1,3,1.2894638820656392
63,AdamCurvature,1,4,1.2965780289844528
64,AdamCurvature,1,5,1.3080080196919095
