Optimizer Name,Running loop number,Initial CPU Memory (MB),Peak CPU Memory (MB),Initial GPU Memory Allocated (MB),Peak GPU Memory Allocated (MB),Initial GPU Memory Reserved (MB),Peak GPU Memory Reserved (MB)
SimpleSGD,1,4527.41015625,4851.96875,152.94287109375,322.1357421875,156.0,5756.0
SimpleSGD,2,4853.375,4853.375,169.19287109375,322.1357421875,540.0,6034.0
SimpleSGDCurvature,1,4838.4453125,4860.82421875,169.19287109375,322.1357421875,386.0,5778.0
SimpleSGDCurvature,2,4861.015625,4861.015625,169.19287109375,322.1357421875,576.0,5982.0
Adam,1,4861.10546875,4861.76953125,169.19287109375,628.021484375,386.0,5972.0
Adam,2,4861.80859375,4861.80859375,169.19287109375,628.021484375,918.0,5652.0
AdamCurvature,1,4861.55859375,4861.55859375,169.19287109375,628.021484375,726.0,6762.0
AdamCurvature,2,4861.8125,4861.8125,169.19287109375,628.021484375,918.0,6762.0
HeavyBall,1,4861.5625,4861.5625,169.19287109375,475.07861328125,764.0,5686.0
HeavyBall,2,4861.8359375,4861.8359375,169.19287109375,475.07861328125,730.0,5654.0
HeavyBallCurvature,1,4861.6015625,4861.859375,169.19287109375,475.07861328125,576.0,6548.0
HeavyBallCurvature,2,4862.09765625,4862.09765625,169.19287109375,475.07861328125,812.0,6272.0
NAG,1,4861.86328125,4861.86328125,169.19287109375,475.07861328125,814.0,5536.0
NAG,2,4862.09765625,4862.09765625,169.19287109375,475.07861328125,766.0,5884.0
NAGCurvature,1,4861.83984375,4861.83984375,169.19287109375,475.07861328125,576.0,6548.0
NAGCurvature,2,4862.08984375,4862.08984375,169.19287109375,475.07861328125,814.0,6272.0
Adagrad,1,4861.859375,4861.859375,169.19287109375,475.07861328125,614.0,5610.0
Adagrad,2,4862.1171875,4862.1171875,169.19287109375,475.07861328125,766.0,5884.0
AdagradCurvature,1,4861.8671875,4862.12109375,169.19287109375,475.07861328125,576.0,6548.0
AdagradCurvature,2,4862.125,4862.125,169.19287109375,475.07861328125,814.0,6272.0
Adadelta,1,4861.88671875,4861.88671875,169.19287109375,628.021484375,614.0,5998.0
Adadelta,2,4862.25390625,4862.25390625,169.19287109375,628.021484375,958.0,5886.0
AdadeltaCurvature,1,4862.01953125,4862.01953125,169.19287109375,628.021484375,768.0,6720.0
AdadeltaCurvature,2,4862.2734375,4862.2734375,169.19287109375,628.021484375,922.0,6766.0
RMSProp,1,4862.03125,4862.03125,169.19287109375,475.07861328125,768.0,5884.0
RMSProp,2,4862.28515625,4862.28515625,169.19287109375,475.07861328125,730.0,5654.0
RMSPropCurvature,1,4862.03515625,4862.2890625,169.19287109375,475.07861328125,540.0,6984.0
RMSPropCurvature,2,4862.296875,4862.296875,169.19287109375,475.07861328125,760.0,6654.0
RMSPropMomentum,1,4862.03515625,4862.2890625,169.19287109375,628.021484375,810.0,5722.0
RMSPropMomentum,2,4862.3125,4862.3125,169.19287109375,628.021484375,954.0,5688.0
RMSPropMomentumCurvature,1,4862.0390625,4862.29296875,169.19287109375,628.021484375,766.0,6720.0
