|Optimizer Name|Running loop number|Epoch number|Average Training Loss
0|SimpleSGD|1|1|0.8263
1|SimpleSGD|1|2|0.7224
2|SimpleSGD|1|3|0.697
3|SimpleSGD|1|4|0.6856
4|SimpleSGD|1|5|0.6807
5|SimpleSGD|1|6|0.6778
6|SimpleSGD|1|7|0.6751
7|SimpleSGD|1|8|0.6724
8|SimpleSGD|1|9|0.6692
9|SimpleSGD|1|10|0.6652
10|SimpleSGD|2|1|0.8428
11|SimpleSGD|2|2|0.7241
12|SimpleSGD|2|3|0.6996
13|SimpleSGD|2|4|0.6882
14|SimpleSGD|2|5|0.6834
15|SimpleSGD|2|6|0.6808
16|SimpleSGD|2|7|0.6789
17|SimpleSGD|2|8|0.6771
18|SimpleSGD|2|9|0.6752
19|SimpleSGD|2|10|0.6731
20|SimpleSGDCurvature|1|1|0.633
21|SimpleSGDCurvature|1|2|0.5589
22|SimpleSGDCurvature|1|3|0.5169
23|SimpleSGDCurvature|1|4|0.4883
24|SimpleSGDCurvature|1|5|0.4657
25|SimpleSGDCurvature|1|6|0.4476
26|SimpleSGDCurvature|1|7|0.4333
27|SimpleSGDCurvature|1|8|0.4196
28|SimpleSGDCurvature|1|9|0.4088
29|SimpleSGDCurvature|1|10|0.3994
30|SimpleSGDCurvature|2|1|0.6432
31|SimpleSGDCurvature|2|2|0.5656
32|SimpleSGDCurvature|2|3|0.5211
33|SimpleSGDCurvature|2|4|0.485
34|SimpleSGDCurvature|2|5|0.4618
35|SimpleSGDCurvature|2|6|0.4435
36|SimpleSGDCurvature|2|7|0.4284
37|SimpleSGDCurvature|2|8|0.4157
38|SimpleSGDCurvature|2|9|0.4048
39|SimpleSGDCurvature|2|10|0.3946
40|Adam|1|1|0.5757
41|Adam|1|2|0.505
42|Adam|1|3|0.4698
43|Adam|1|4|0.4967
44|Adam|1|5|0.5219
45|Adam|1|6|0.5223
46|Adam|1|7|0.5202
47|Adam|1|8|0.515
48|Adam|1|9|0.5145
49|Adam|1|10|0.4736
50|Adam|2|1|0.5792
51|Adam|2|2|0.5327
52|Adam|2|3|0.5612
53|Adam|2|4|0.4563
54|Adam|2|5|0.4685
55|Adam|2|6|0.4433
56|Adam|2|7|0.4533
57|Adam|2|8|0.3942
58|Adam|2|9|0.447
59|Adam|2|10|0.3922
60|AdamCurvature|1|1|0.588
61|AdamCurvature|1|2|0.5257
62|AdamCurvature|1|3|0.5296
63|AdamCurvature|1|4|0.491
64|AdamCurvature|1|5|0.5018
65|AdamCurvature|1|6|0.5007
66|AdamCurvature|1|7|0.4853
67|AdamCurvature|1|8|0.4987
68|AdamCurvature|1|9|0.4981
69|AdamCurvature|1|10|0.4377
70|AdamCurvature|2|1|0.6017
71|AdamCurvature|2|2|0.4725
72|AdamCurvature|2|3|0.5746
73|AdamCurvature|2|4|0.4674
74|AdamCurvature|2|5|0.4762
75|AdamCurvature|2|6|0.4232
76|AdamCurvature|2|7|0.4938
77|AdamCurvature|2|8|0.4645
78|AdamCurvature|2|9|0.4668
79|AdamCurvature|2|10|0.4406
80|HeavyBall|1|1|0.7002
81|HeavyBall|1|2|0.6073
82|HeavyBall|1|3|0.5598
83|HeavyBall|1|4|0.5814
84|HeavyBall|1|5|0.5435
85|HeavyBall|1|6|0.4449
86|HeavyBall|1|7|0.396
87|HeavyBall|1|8|0.3442
88|HeavyBall|1|9|0.3257
89|HeavyBall|1|10|0.3476
90|HeavyBall|2|1|0.7056
91|HeavyBall|2|2|0.6316
92|HeavyBall|2|3|0.5585
93|HeavyBall|2|4|0.5493
94|HeavyBall|2|5|0.563
95|HeavyBall|2|6|0.6121
96|HeavyBall|2|7|0.6555
97|HeavyBall|2|8|0.596
98|HeavyBall|2|9|0.481
99|HeavyBall|2|10|0.5265
100|HeavyBallCurvature|1|1|0.5957
101|HeavyBallCurvature|1|2|0.4951
102|HeavyBallCurvature|1|3|0.4391
103|HeavyBallCurvature|1|4|0.404
104|HeavyBallCurvature|1|5|0.3896
105|HeavyBallCurvature|1|6|0.3624
106|HeavyBallCurvature|1|7|0.3427
107|HeavyBallCurvature|1|8|0.3371
108|HeavyBallCurvature|1|9|0.3451
109|HeavyBallCurvature|1|10|0.3145
110|HeavyBallCurvature|2|1|0.6045
111|HeavyBallCurvature|2|2|0.4944
112|HeavyBallCurvature|2|3|0.4282
113|HeavyBallCurvature|2|4|0.4018
114|HeavyBallCurvature|2|5|0.378
115|HeavyBallCurvature|2|6|0.3421
116|HeavyBallCurvature|2|7|0.321
117|HeavyBallCurvature|2|8|0.3087
118|HeavyBallCurvature|2|9|0.3171
119|HeavyBallCurvature|2|10|0.2931
120|NAG|1|1|0.7002
121|NAG|1|2|0.6044
122|NAG|1|3|0.581
123|NAG|1|4|0.6255
124|NAG|1|5|0.6271
125|NAG|1|6|0.5682
126|NAG|1|7|0.5275
127|NAG|1|8|0.5931
128|NAG|1|9|0.6034
129|NAG|1|10|0.5621
130|NAG|2|1|0.7056
131|NAG|2|2|0.6324
132|NAG|2|3|0.5639
133|NAG|2|4|0.5945
134|NAG|2|5|0.6232
135|NAG|2|6|0.6537
136|NAG|2|7|0.6504
137|NAG|2|8|0.6401
138|NAG|2|9|0.5492
139|NAG|2|10|0.6098
140|NAGCurvature|1|1|0.6572
141|NAGCurvature|1|2|0.9805
142|NAGCurvature|1|3|1.0142
143|NAGCurvature|1|4|1.3044
144|NAGCurvature|1|5|1.121
145|NAGCurvature|1|6|2.4585
146|NAGCurvature|1|7|3.7419
147|NAGCurvature|1|8|3.9772
148|NAGCurvature|1|9|3.828
149|NAGCurvature|1|10|3.7214
150|NAGCurvature|2|1|0.6874
151|NAGCurvature|2|2|0.93
152|NAGCurvature|2|3|1.253
153|NAGCurvature|2|4|1.5297
154|NAGCurvature|2|5|1.4316
155|NAGCurvature|2|6|1.3991
156|NAGCurvature|2|7|1.4053
157|NAGCurvature|2|8|1.3071
158|NAGCurvature|2|9|1.2356
159|NAGCurvature|2|10|1.1251
160|Adagrad|1|1|0.6671
161|Adagrad|1|2|0.5658
162|Adagrad|1|3|0.5393
163|Adagrad|1|4|0.532
164|Adagrad|1|5|0.5273
165|Adagrad|1|6|0.5245
166|Adagrad|1|7|0.5205
167|Adagrad|1|8|0.5183
168|Adagrad|1|9|0.5147
169|Adagrad|1|10|0.5119
170|Adagrad|2|1|0.6863
171|Adagrad|2|2|0.626
172|Adagrad|2|3|0.5581
173|Adagrad|2|4|0.5405
174|Adagrad|2|5|0.5338
175|Adagrad|2|6|0.5307
176|Adagrad|2|7|0.5248
177|Adagrad|2|8|0.5215
178|Adagrad|2|9|0.5184
179|Adagrad|2|10|0.5153
180|AdagradCurvature|1|1|0.5628
181|AdagradCurvature|1|2|0.4229
182|AdagradCurvature|1|3|0.3807
183|AdagradCurvature|1|4|0.3545
184|AdagradCurvature|1|5|0.3358
185|AdagradCurvature|1|6|0.3215
186|AdagradCurvature|1|7|0.3099
187|AdagradCurvature|1|8|0.3003
188|AdagradCurvature|1|9|0.2922
189|AdagradCurvature|1|10|0.2851
190|AdagradCurvature|2|1|0.6144
191|AdagradCurvature|2|2|0.4505
192|AdagradCurvature|2|3|0.396
193|AdagradCurvature|2|4|0.3657
194|AdagradCurvature|2|5|0.3446
195|AdagradCurvature|2|6|0.3288
196|AdagradCurvature|2|7|0.3163
197|AdagradCurvature|2|8|0.3061
198|AdagradCurvature|2|9|0.2974
199|AdagradCurvature|2|10|0.29
200|Adadelta|1|1|1.0028
201|Adadelta|1|2|0.7402
202|Adadelta|1|3|0.6979
203|Adadelta|1|4|0.6877
204|Adadelta|1|5|0.6842
205|Adadelta|1|6|0.6821
206|Adadelta|1|7|0.6805
207|Adadelta|1|8|0.6789
208|Adadelta|1|9|0.6773
209|Adadelta|1|10|0.6756
210|Adadelta|2|1|1.0631
211|Adadelta|2|2|0.7472
212|Adadelta|2|3|0.6991
213|Adadelta|2|4|0.689
214|Adadelta|2|5|0.6859
215|Adadelta|2|6|0.6841
216|Adadelta|2|7|0.6828
217|Adadelta|2|8|0.6817
218|Adadelta|2|9|0.6807
219|Adadelta|2|10|0.6796
220|AdadeltaCurvature|1|1|0.8705
221|AdadeltaCurvature|1|2|0.6838
222|AdadeltaCurvature|1|3|0.6788
223|AdadeltaCurvature|1|4|0.6736
224|AdadeltaCurvature|1|5|0.6657
225|AdadeltaCurvature|1|6|0.6479
226|AdadeltaCurvature|1|7|0.6078
227|AdadeltaCurvature|1|8|0.5757
228|AdadeltaCurvature|1|9|0.5591
229|AdadeltaCurvature|1|10|0.5456
230|AdadeltaCurvature|2|1|0.9106
231|AdadeltaCurvature|2|2|0.6855
232|AdadeltaCurvature|2|3|0.6811
233|AdadeltaCurvature|2|4|0.6775
234|AdadeltaCurvature|2|5|0.6729
235|AdadeltaCurvature|2|6|0.6537
236|AdadeltaCurvature|2|7|0.6404
237|AdadeltaCurvature|2|8|0.5939
238|AdadeltaCurvature|2|9|0.5697
239|AdadeltaCurvature|2|10|0.5549
240|RMSProp|1|1|0.5612
241|RMSProp|1|2|0.4601
