Optimizer Name|Mean_Training_Loss_epoch1|Mean_Training_Loss_epoch2|Mean_Training_Loss_epoch3|Mean_Training_Loss_epoch4|Mean_Training_Loss_epoch5|Mean_Training_Loss_epoch6|Mean_Training_Loss_epoch7|Mean_Training_Loss_epoch8|Mean_Training_Loss_epoch9|Mean_Training_Loss_epoch10|Std_Training_Loss_epoch1|Std_Training_Loss_epoch2|Std_Training_Loss_epoch3|Std_Training_Loss_epoch4|Std_Training_Loss_epoch5|Std_Training_Loss_epoch6|Std_Training_Loss_epoch7|Std_Training_Loss_epoch8|Std_Training_Loss_epoch9|Std_Training_Loss_epoch10
AMSGrad|0.6069|0.5143500000000001|0.5154000000000001|0.5539000000000001|0.55725|0.52025|0.4962|0.49750000000000005|0.47414999999999996|0.42869999999999997|0.03790092347159901|0.014778531726798825|0.04610336213336296|0.0350724963468527|0.048295393155041215|0.02552655480083438|0.0328097546470558|0.011596551211459378|0.025243712088359734|0.07990306627407988
AMSGradCurvature|0.5699000000000001|0.5732999999999999|0.49005|0.46430000000000005|0.43920000000000003|0.4148|0.49534999999999996|0.4723|0.4443|0.43895|0.02602152954766495|0.02814284989122459|0.0433456456867354|0.08598418459228419|0.11808683245815346|0.10550033175303289|0.021001071401240443|0.03846660889654819|0.12643069247615468|0.10019703089413382
Adadelta|1.03295|0.7437|0.6985|0.68835|0.6850499999999999|0.6831|0.68165|0.6802999999999999|0.679|0.6776|0.04263853890554875|0.004949747468305798|0.0008485281374239206|0.0009192388155424498|0.0012020815280171162|0.0014142135623730963|0.0016263455967290372|0.0019798989873223895|0.002404163056034193|0.0028284271247461927
AdadeltaCurvature|0.89055|0.68465|0.67995|0.67555|0.6693|0.6508|0.6241|0.5848|0.5644|0.5502499999999999|0.028354981925580534|0.0012020815280171554|0.0016263455967290765|0.0027577164466275456|0.00509116882454321|0.004101219330881877|0.023051681066681422|0.012869343417595162|0.007495331880577363|0.006576093065034913
Adagrad|0.6767000000000001|0.5959|0.5487|0.53625|0.5305500000000001|0.5276|0.5226500000000001|0.5199|0.5165500000000001|0.5136000000000001|0.01357645019878167|0.04256782822743018|0.01329360748630716|0.00601040764008562|0.0045961940777125634|0.004384062043356583|0.003040559159102173|0.0022627416997968992|0.002616295090390134|0.002404163056034193
AdagradCurvature|0.5886|0.4367|0.38835|0.3601|0.3402|0.32515|0.31310000000000004|0.3032|0.2948|0.28755|0.0364867099092258|0.019516147160748742|0.010818733752154223|0.007919595949289383|0.00622253967444164|0.005161879502661778|0.0045254833995938964|0.004101219330881936|0.003676955262170035|0.003464823227814074
Adam|0.57745|0.51885|0.5155000000000001|0.4765|0.49520000000000003|0.4828|0.48675|0.4546|0.48075|0.4329|0.002474873734152958|0.019586857838867287|0.06462955980045043|0.028567113959936514|0.03775950211536164|0.05586143571373723|0.04730544366138006|0.08541849916733495|0.04772970773009194|0.05755849198858499
AdamCurvature|0.59485|0.4991|0.5521|0.47919999999999996|0.489|0.46195|0.48955000000000004|0.48160000000000003|0.48245|0.43915|0.009687362902255733|0.03761808075912433|0.03181980515339463|0.01668772003600251|0.018101933598375603|0.05480077554195744|0.00601040764008564|0.024183051916579913|0.022132442251138935|0.0020506096654409976
AdamW|0.5928|0.5315|0.5017499999999999|0.5299|0.45955|0.46585|0.49135|0.4522|0.4598|0.4809|0.00014142135623729392|0.045396255352176354|0.0024748737341529184|0.013293607486307082|0.011242997820866124|0.0787009847460627|0.034718942956259505|0.0072124891681027755|0.004808326112068543|0.02531442276647842
AdamWCurvature|0.587|0.554|0.5601|0.5217499999999999|0.49715|0.45289999999999997|0.47914999999999996|0.52675|0.5212|0.5406500000000001|0.02291025971044413|0.028567113959936514|0.06024549775709385|0.09241885630108176|0.13724942622830882|0.12105668093913692|0.03797163414971764|0.017465537495307725|0.06250823945689082|0.08888332239514901
HeavyBall|0.7029000000000001|0.6194500000000001|0.55915|0.56535|0.55325|0.5285|0.5257499999999999|0.47009999999999996|0.40335|0.43705|0.0038183766184072894|0.017182694782833137|0.0009192388155425283|0.022698127676088187|0.01378858223313761|0.11822825381439074|0.18349420971790908|0.17804948750277266|0.10981368311827083|0.1265014031542733
HeavyBallCurvature|0.6001000000000001|0.49475|0.43365|0.40290000000000004|0.38380000000000003|0.35225|0.33185|0.32289999999999996|0.3311|0.3038|0.006222539674441601|0.0004949747468305876|0.007707463914933324|0.0015556349186104492|0.008202438661763971|0.014354267658086905|0.015344217151748059|0.020081832585697956|0.019798989873223347|0.0151320851173921
NAG|0.7029000000000001|0.6184000000000001|0.5724499999999999|0.61|0.62515|0.61095|0.58895|0.6166|0.5763|0.58595|0.0038183766184072894|0.01979898987322323|0.012091525958289927|0.021920310216782913|0.0027577164466275456|0.06045762979144975|0.0869034234078267|0.03323401871576773|0.03832518754031089|0.03372899346259833
NAGCurvature|0.6723|0.95525|1.1336|1.4170500000000001|1.2763|1.9287999999999998|2.5736|2.64215|2.5318|2.42325|0.021354624791833737|0.03570889244992064|0.1688570993473475|0.15931115780132912|0.21962736623654167|0.7491089239890283|1.6522257049204867|1.8880458164462006|1.8331036195480057|1.8358613359946334
NAdam|0.5925|0.54505|0.5199|0.52235|0.5499|0.5252|0.5316|0.52015|0.5149|0.53665|0.02800142853498722|0.037405948724768365|0.04426488450227788|0.020152543263816585|0.0719834703247905|0.04355777772109138|0.08824692629208113|0.10217692988145614|0.04992173875177025|0.06837722574073912
NAdamCurvature|0.5914|0.5388|0.53355|0.55725|0.51915|0.5269|0.5252|0.55145|0.58645|0.6318|0.03846660889654819|0.01824335495461292|0.06201326471006026|0.02750645378815677|0.0026162950903902515|0.0072124891681027755|0.05557859300126264|0.07926667017101198|0.02708218971944477|0.006929646455628187
NAdamW|0.6173500000000001|0.5568|0.54715|0.5627|0.577|0.56435|0.59905|0.5646500000000001|0.5724|0.5702|0.02665792565073277|0.010748023074035556|0.02552655480083438|0.03676955262170051|0.07382194795587556|0.091146064094946|0.03019345955666555|0.02934493141924167|0.014566399692442845|0.005656854249492385
NAdamWCurvature|0.5851|0.55455|0.54035|0.5349999999999999|0.5169|0.5517000000000001|0.59635|0.59975|0.5878000000000001|0.5670999999999999|0.00014142135623733317|0.07290270914033303|0.0006363961030678226|0.04497199128346437|0.010040916292848968|0.027435743110038043|0.004171930009000642|0.015202795795510824|0.029132799384885808|0.047658997051973274
RMSProp|0.5662|0.47185|0.46845000000000003|0.49105|0.4587|0.46745|0.45094999999999996|0.397|0.39985|0.42905000000000004|0.007071067811865481|0.016617009357883843|0.008273149339882617|0.04688117959266812|0.038183766184073605|0.029910616844190965|0.04871965722375311|0.022061731573020285|0.02552655480083438|0.028779245994292477
RMSPropCurvature|0.5666|0.47509999999999997|0.47634999999999994|0.41615|0.44025000000000003|0.46535|0.4453|0.4096|0.4232|0.4143|0.01598061325481594|0.00155563491861041|0.03556747109368329|0.06201326471006022|0.030900566337852157|0.06229610742253481||0.03351686142824235|0.0014142135623730963|0.004242640687119289
RMSPropMomentum|0.56725|0.5027|0.45855|0.46504999999999996|0.44189999999999996|0.43910000000000005|0.40975|0.4175|0.50495|0.5004500000000001|0.018738329701443488|0.02262741699796954|0.027647875144394023|0.0058689862838483845|0.013293607486307101|0.03323401871576774|0.05338656197958434|0.042284985514955534|0.11688475093013631|0.12494576823566289
RMSPropMomentumCurvature|0.56255|0.49345|0.4743|0.4698|0.4625|0.43455|0.43405000000000005|0.3999|0.39535|0.369|0.004171930009000642|0.011950104602052671|0.01131370849898477|0.051901637739092545|0.016970562748477098|0.045184123317820415|0.07516545084012999|0.010748023074035516|0.015485638507985353|0.05289158723275374
